,Number1,Number2,Number3,Number4
0,,,,
1,,,,
2,,,,
3,,,,
4,one,one,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,one,,,
14,,,,
15,,,,
16,one,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,one,one,,
26,one,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,ten,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,three,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,one,,,
49,one,,,
50,,,,
51,one,two,one,
52,,,,
53,,,,
54,,,,
55,,,,
56,two,one,,
57,two,ten,ten,
58,two,,,
59,one,two,,
60,,,,
61,three,three,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,one,ten,ten,ten
72,one,ten,ten,
73,ten,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,one,,,
81,ten,,,
82,two,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,one,one,,
93,,,,
94,,,,
95,,,,
96,,,,
97,two,one,ten,
98,,,,
99,ten,ten,,
100,,,,
101,,,,
102,,,,
103,three,,,
104,,,,
105,,,,
106,one,,,
107,one,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,two,,,
118,,,,
119,one,,,
120,,,,
121,,,,
122,,,,
123,two,,,
124,,,,
125,two,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,ten,,,
135,,,,
136,,,,
137,one,,,
138,,,,
139,one,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,ten,ten,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,one,,,
162,,,,
163,,,,
164,one,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,two,,,
182,ten,,,
183,,,,
184,ten,one,,
185,,,,
186,one,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,one,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,one,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,two,,,
211,,,,
212,ten,ten,,
213,,,,
214,,,,
215,,,,
216,three,,,
217,,,,
218,two,,,
219,,,,
220,,,,
221,,,,
